image_name,vulnerability_id,cvss_severity,cvss_score,epss_score,affected_software,origin_package_name,package_purl,package_version,package_type,file_path,fix_available,fix_versions,exploit_level,has_kev,cve_vendor_link,cve_publish_date,cve_risk_factors,cve_description,remediation,asset_id
artifactory.radisys.com:8088/nokia/oamp:20.1.0.0-125,CVE-2026-8286,Unknown,,,curl,curl,pkg:rpm/rocky/curl@7.61.1-34.el8_10.13,7.61.1-34.el8_10.13,PACKAGE,Managed by the Package Manager,False,,NONE,False,,,,,This vulnerability has no Fix Available at this time. Please refer to https://access.redhat.com/security/cve/CVE-2026-8286 for additional information.,2550c781056dd8edf11a6eeb11cb5a9685a1ac55dd389c1861f669e7fb2ec7b1
artifactory.radisys.com:8088/nokia/oamp:20.1.0.0-125,CVE-2026-59845,Unknown,,,libssh,libssh,pkg:rpm/rocky/libssh@0.9.6-17.el8_10,0.9.6-17.el8_10,PACKAGE,Managed by the Package Manager,False,,NONE,False,,,,,This vulnerability has no Fix Available at this time. Please refer to https://access.redhat.com/security/cve/CVE-2026-59845 for additional information.,2550c781056dd8edf11a6eeb11cb5a9685a1ac55dd389c1861f669e7fb2ec7b1
artifactory.radisys.com:8088/nokia/oamp:20.1.0.0-125,CVE-2026-59850,Unknown,,,libssh,libssh,pkg:rpm/rocky/libssh@0.9.6-17.el8_10,0.9.6-17.el8_10,PACKAGE,Managed by the Package Manager,False,,NONE,False,,,,,This vulnerability has no Fix Available at this time. Please refer to https://access.redhat.com/security/cve/CVE-2026-59850 for additional information.,2550c781056dd8edf11a6eeb11cb5a9685a1ac55dd389c1861f669e7fb2ec7b1
artifactory.radisys.com:8088/nokia/oamp:20.1.0.0-125,CVE-2026-59844,Unknown,,,libssh,libssh,pkg:rpm/rocky/libssh@0.9.6-17.el8_10,0.9.6-17.el8_10,PACKAGE,Managed by the Package Manager,False,,NONE,False,,,,,This vulnerability has no Fix Available at this time. Please refer to https://access.redhat.com/security/cve/CVE-2026-59844 for additional information.,2550c781056dd8edf11a6eeb11cb5a9685a1ac55dd389c1861f669e7fb2ec7b1
artifactory.radisys.com:8088/nokia/oamp:20.1.0.0-125,CVE-2026-59848,Unknown,,,libssh,libssh,pkg:rpm/rocky/libssh@0.9.6-17.el8_10,0.9.6-17.el8_10,PACKAGE,Managed by the Package Manager,False,,NONE,False,,,,,This vulnerability has no Fix Available at this time. Please refer to https://access.redhat.com/security/cve/CVE-2026-59848 for additional information.,2550c781056dd8edf11a6eeb11cb5a9685a1ac55dd389c1861f669e7fb2ec7b1
artifactory.radisys.com:8088/nokia/oamp:20.1.0.0-125,CVE-2026-59846,Unknown,,,libssh,libssh,pkg:rpm/rocky/libssh@0.9.6-17.el8_10,0.9.6-17.el8_10,PACKAGE,Managed by the Package Manager,False,,NONE,False,,,,,This vulnerability has no Fix Available at this time. Please refer to https://access.redhat.com/security/cve/CVE-2026-59846 for additional information.,2550c781056dd8edf11a6eeb11cb5a9685a1ac55dd389c1861f669e7fb2ec7b1
artifactory.radisys.com:8088/nokia/oamp:20.1.0.0-125,CVE-2026-59847,Unknown,,,libssh,libssh,pkg:rpm/rocky/libssh@0.9.6-17.el8_10,0.9.6-17.el8_10,PACKAGE,Managed by the Package Manager,False,,NONE,False,,,,,This vulnerability has no Fix Available at this time. Please refer to https://access.redhat.com/security/cve/CVE-2026-59847 for additional information.,2550c781056dd8edf11a6eeb11cb5a9685a1ac55dd389c1861f669e7fb2ec7b1
artifactory.radisys.com:8088/nokia/oamp:20.1.0.0-125,CVE-2026-59843,Unknown,,,libssh,libssh,pkg:rpm/rocky/libssh@0.9.6-17.el8_10,0.9.6-17.el8_10,PACKAGE,Managed by the Package Manager,False,,NONE,False,,,,,This vulnerability has no Fix Available at this time. Please refer to https://access.redhat.com/security/cve/CVE-2026-59843 for additional information.,2550c781056dd8edf11a6eeb11cb5a9685a1ac55dd389c1861f669e7fb2ec7b1
artifactory.radisys.com:8088/nokia/oamp:20.1.0.0-125,CVE-2026-11940,Unknown,,,python3.12,python3.12,pkg:rpm/rocky/python3.12@3.12.14-1.el8_10,3.12.14-1.el8_10,PACKAGE,Managed by the Package Manager,False,,NONE,False,,,,,This vulnerability has no Fix Available at this time. Please refer to https://access.redhat.com/security/cve/CVE-2026-11940 for additional information.,2550c781056dd8edf11a6eeb11cb5a9685a1ac55dd389c1861f669e7fb2ec7b1
artifactory.radisys.com:8088/nokia/oamp:20.1.0.0-125,CVE-2026-34032,Medium,5.3,0.00485,httpd,httpd,app:httpd@2.4.37-65.module+el8.10.0+40257+286895ef.9,2.4.37-65.module+el8.10.0+40257+286895ef.9,APP,/usr/sbin/httpd,True,2.4.67,NONE,False,https://nvd.nist.gov/vuln/detail/CVE-2026-34032,2026-05-04,Attack complexity: low|Attack vector: network|Recent vulnerability,"Improper Null Termination, Out-of-bounds Read vulnerability in Apache HTTP Server.

This issue affects Apache HTTP Server: through 2.4.66.

Users are recommended to upgrade to version 2.4.67, which fixes the issue.",Update the software httpd from version < 2.4.67 to version 2.4.67 as recommended by https://nvd.nist.gov/vuln/detail/CVE-2026-34032.,2550c781056dd8edf11a6eeb11cb5a9685a1ac55dd389c1861f669e7fb2ec7b1
